date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:38:58	4410/4410	---M-Z	200	added ('OK')	application/javascript	etag:%22141688-113a-5436637cd1906%22	http://img.webring.com/wrjs.js	E:/Desktop/6502%20Complete%20Reference/6502%20Complete%20Reference/img.webring.com/wrjs.js	(from http://ss.webring.org/navbar?f=l;y=andrew_jacobs;u=10039925;comid=)
18:39:00	6017/6017	---M-Z	200	added ('OK')	image/gif	etag:%22141631-1781-5436634764df5%22	http://img.webring.com/wr-logo_rev1.gif	E:/Desktop/6502%20Complete%20Reference/6502%20Complete%20Reference/img.webring.com/wr-logo_rev1.gif	(from http://ss.webring.org/navbar?f=l;y=andrew_jacobs;u=10039925;comid=)
18:39:00	1675/1675	---M--	200	added ('OK')	image/gif	date:Wed,%2003%20Jan%202018%2015:58:03%20GMT	http://s7.addthis.com/static/btn/v2/lg-share-en.gif	E:/Desktop/6502%20Complete%20Reference/6502%20Complete%20Reference/s7.addthis.com/static/btn/v2/lg-share-en.gif	(from http://ss.webring.org/navbar?f=l;y=andrew_jacobs;u=10039925;comid=)
18:39:08	248722/248722	---M--	200	added ('OK')	application/zip	etag:%223cb92-52009b2d6322b%22	http://www.obelisk.me.uk/6502/6502.zip	E:/Desktop/6502%20Complete%20Reference/6502%20Complete%20Reference/www.obelisk.me.uk/6502/6502.zip	(from http://www.obelisk.me.uk/6502/downloads.html)
18:39:08	93435/93435	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.8.2/jquery.min.js	E:/Desktop/6502%20Complete%20Reference/6502%20Complete%20Reference/ajax.googleapis.com/ajax/libs/jquery/1.8.2/jquery.min.js	(from http://hub.yourtakeonscience.com/hub/6502webring)
18:39:08	293/293	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Feb%202018%2020:39:09%20GMT	http://ss.webring.org/cgi-bin/newpage	E:/Desktop/6502%20Complete%20Reference/6502%20Complete%20Reference/ss.webring.org/cgi-bin/newpage.3f.delayed	(from http://ss.webring.org/navbar?f=l;y=andrew_jacobs;u=10039925;comid=)
18:39:09	1689/1689	---M-Z	200	added ('OK')	image/png	etag:%22141547-699-54366300b0679%22	http://img.webring.com/pub.png	E:/Desktop/6502%20Complete%20Reference/6502%20Complete%20Reference/img.webring.com/pub.png	(from http://ss.webring.org/navbar?f=l;y=andrew_jacobs;u=10039925;comid=)
18:39:09	1429/1429	---M-Z	200	added ('OK')	image/png	etag:%22141505-595-543662f15c46c%22	http://img.webring.com/bubble22.png	E:/Desktop/6502%20Complete%20Reference/6502%20Complete%20Reference/img.webring.com/bubble22.png	(from http://ss.webring.org/navbar?f=l;y=andrew_jacobs;u=10039925;comid=)
18:39:09	359279/359279	---M-Z	200	added ('OK')	application/javascript	etag:%225a789881-57b6f%22	http://s7.addthis.com/js/300/addthis_widget.js	E:/Desktop/6502%20Complete%20Reference/6502%20Complete%20Reference/s7.addthis.com/js/300/addthis_widget.js	(from http://hub.yourtakeonscience.com/hub/6502webring)
18:39:09	289/289	---M-Z	302	error ('Found')	text/html	date:Mon,%2005%20Feb%202018%2020:39:10%20GMT	http://ss.webring.org/rw	E:/Desktop/6502%20Complete%20Reference/6502%20Complete%20Reference/ss.webring.org/rw.42.delayed	(from http://ss.webring.org/navbar?f=l;y=andrew_jacobs;u=10039925;comid=)
